"","1 run","5 runs","10 runs","25 runs","50 runs","100 runs","250 runs","500 runs","1000 runs"
"2138",5,8,7,7,9,9,9,8,8
"2139",5,9,7,7,7,8,7,9,9
"2140",5,9,7,7,7,8,7,9,9
"2141",8,9,8,4,5,5,8,6,5
"2142",5,9,7,7,7,8,7,9,9
"2143",5,9,7,7,7,8,7,9,9
"2144",5,9,7,7,7,8,7,9,9
"2145",5,9,7,4,5,8,7,9,5
"2146",5,9,7,7,7,8,7,9,9
"2147",5,9,7,7,7,8,7,9,9
"2148",5,8,7,7,7,8,7,9,9
"2149",8,9,8,4,5,5,8,6,5
"2150",9,8,9,9,9,9,9,8,8
"2151",5,6,5,4,7,5,7,6,5
"2152",5,6,5,4,5,5,5,6,5
"2153",8,9,8,4,5,5,8,6,5
"2154",9,8,9,9,9,9,9,8,8
"2155",5,9,7,4,5,5,7,9,5
"2156",5,9,7,7,7,8,7,9,9
"2157",9,8,9,9,9,9,9,8,8
"2158",5,8,7,7,7,8,7,8,8
"2159",5,9,7,7,7,8,7,9,9
"2160",5,8,7,7,7,9,7,8,8
"2161",5,9,7,4,7,8,7,9,5
"2162",5,9,7,7,7,8,7,9,9
"2163",5,9,7,7,7,8,7,9,9
"2164",9,8,9,9,9,9,9,8,8
"2165",5,9,7,7,7,8,7,9,9
"2166",5,8,7,7,7,8,7,9,9
"2167",5,9,7,7,7,8,7,9,9
"2168",5,9,7,4,5,5,7,6,5
"2169",8,9,8,4,5,5,8,6,5
"2170",5,6,7,4,7,5,7,6,5
"2171",5,8,7,7,7,8,7,8,8
"2172",9,8,9,9,9,9,9,8,8
"2173",9,8,9,9,9,9,9,8,8
"2174",9,8,9,9,9,9,9,8,8
"2175",5,6,5,4,5,5,5,6,5
"2176",5,8,7,7,7,8,7,8,8
"2177",9,8,9,9,9,9,9,8,8
"2178",5,9,7,4,5,8,7,9,5
"2179",9,8,9,9,9,9,9,8,8
"2180",9,8,9,9,9,9,9,8,8
"2181",5,6,5,4,5,5,5,6,5
"2182",5,8,7,7,7,8,7,9,9
"2183",5,9,7,7,7,8,7,9,9
"2184",9,8,9,9,9,9,9,8,8
"2185",9,8,9,9,9,9,9,8,8
"2186",5,8,7,7,7,8,7,9,9
"2187",5,8,7,7,7,8,7,9,9
"2188",5,6,7,4,7,5,7,6,5
"2189",9,8,9,9,9,9,9,8,8
"2190",5,6,5,4,5,5,5,6,5
"2191",5,9,7,7,7,8,7,9,9
"2192",9,8,9,9,9,9,9,8,8
"2193",5,8,7,7,7,8,7,8,8
"2194",5,6,5,4,5,5,5,6,5
"2195",5,6,5,4,5,5,5,6,5
"2196",8,9,8,4,5,5,8,6,5
"2197",5,8,7,7,7,9,7,8,9
"2198",5,8,7,7,7,8,7,8,8
"2199",8,9,7,4,5,8,8,9,5
"2200",5,8,7,7,7,8,7,9,9
"2201",5,9,7,4,5,5,7,6,5
"2202",9,8,9,9,9,9,9,8,8
"2203",8,9,8,4,5,5,8,6,5
"2204",9,8,9,7,9,9,9,8,8
"2205",2,3,2,1,2,2,2,1,1
"2206",6,6,8,8,8,5,8,6,5
"2207",5,6,5,4,5,5,5,6,5
"2208",5,6,5,4,5,5,5,6,5
"2209",5,6,7,4,7,5,7,6,5
"2210",5,8,7,7,7,8,7,9,9
"2211",8,9,8,4,5,5,8,6,5
"2212",9,8,9,7,9,9,9,8,8
"2213",8,9,8,4,5,5,8,6,5
"2214",8,9,8,4,5,5,8,6,5
"2215",9,8,9,9,9,9,9,8,8
"2216",5,9,7,4,5,8,7,9,9
"2217",5,9,7,7,7,8,7,9,9
"2218",9,8,9,9,9,9,9,8,8
"2219",9,8,9,7,9,9,9,8,8
"2220",8,9,8,4,5,5,8,6,5
"2221",5,8,7,7,7,8,7,8,8
"2222",5,9,7,4,7,8,7,9,5
"2223",5,9,7,4,5,5,7,6,5
"2224",5,9,7,4,5,5,7,6,5
"2225",5,6,5,4,7,5,7,6,5
"2226",5,6,5,4,5,5,5,6,5
"2227",5,6,5,4,5,5,5,6,5
"2228",5,6,5,4,7,5,7,6,5
"2229",5,9,7,4,7,8,7,9,5
"2230",5,9,7,4,5,8,7,9,5
"2231",5,6,5,4,7,5,7,6,5
"2232",5,9,7,4,5,5,7,6,5
"2233",5,8,7,7,7,8,7,8,8
"2234",5,9,7,4,7,8,7,9,5
"2235",5,8,7,7,7,8,7,8,8
"2236",5,8,7,7,7,9,7,8,9
"2237",5,8,7,7,7,8,7,8,8
"2238",5,6,5,4,5,5,5,6,5
"2239",5,8,7,7,9,9,9,8,8
"2240",9,8,9,7,9,9,9,8,8
"2241",5,8,7,7,9,9,9,8,8
"2242",5,9,8,4,5,5,7,6,5
"2243",5,9,7,4,5,5,7,6,5
"2244",8,9,8,4,5,5,8,6,5
"2245",8,9,8,4,5,5,8,6,5
"2246",5,8,7,7,7,9,7,8,8
"2247",9,8,9,7,9,9,9,8,8
"2248",9,8,9,9,9,9,9,8,8
"2249",5,9,7,4,5,8,7,9,5
"2250",5,9,7,4,5,8,7,9,5
"2251",9,8,9,9,9,9,9,8,8
"2252",8,9,8,4,5,5,8,6,5
"2253",5,8,7,7,9,9,9,8,8
"2254",8,9,8,4,5,5,8,6,5
"2255",5,8,7,7,7,9,9,8,8
"2256",9,8,9,9,9,9,9,8,8
"2257",9,8,9,9,9,9,9,8,8
"2258",5,8,7,7,7,9,9,8,8
"2259",5,9,7,7,7,8,7,9,9
"2260",5,9,7,4,5,5,7,9,5
"2261",5,9,7,4,5,8,7,9,5
"2262",9,8,9,9,9,9,9,8,8
"2263",9,8,9,7,9,9,9,8,8
"2264",5,9,7,7,7,8,7,9,9
"2265",9,8,9,9,9,9,9,8,8
"2266",9,8,9,7,9,9,9,8,8
"2267",5,9,7,7,7,8,7,9,9
"2268",5,9,7,7,7,8,7,9,9
"2269",8,9,8,4,5,5,8,6,5
"2270",9,8,9,9,9,9,9,8,8
"2271",8,9,8,4,5,5,8,6,5
"2272",8,9,7,4,5,8,8,9,5
"2273",8,9,8,4,5,5,8,6,5
"2274",9,8,9,7,9,9,9,8,8
"2275",7,7,8,8,8,7,8,7,7
"2276",7,7,8,8,8,7,8,7,7
"2277",8,9,8,4,5,5,8,6,5
"2278",8,9,8,4,5,5,8,6,5
"2279",8,9,8,4,5,5,8,6,5
"2280",9,8,9,9,9,9,9,8,8
"2281",5,8,7,7,7,8,7,6,5
"2282",5,6,7,4,7,5,7,6,5
"2283",8,9,8,4,5,5,8,6,5
"2284",9,8,9,9,9,9,9,8,8
"2285",5,9,7,4,5,8,7,9,9
"2286",5,8,7,7,7,9,9,8,8
"2287",5,8,7,7,7,8,7,8,8
"2288",9,8,9,7,9,9,9,8,8
"2289",9,8,9,7,9,9,9,8,8
"2290",9,8,9,9,9,9,9,8,8
"2291",5,9,7,4,5,8,7,9,5
"2292",5,9,7,4,5,5,7,9,5
"2293",5,8,7,7,7,9,9,8,8
"2294",5,8,7,7,9,9,9,8,8
"2295",9,8,9,9,9,9,9,8,8
"2296",5,8,7,7,9,9,9,8,8
"2297",5,6,5,4,5,5,5,6,5
"2298",9,8,9,9,9,9,9,8,8
"2299",9,8,9,9,9,9,9,8,8
"2300",5,8,7,7,7,9,7,8,8
"2301",9,8,9,9,9,9,9,8,8
"2302",7,7,8,8,8,7,8,7,7
"2303",5,8,7,7,9,9,9,8,8
"2304",5,8,7,7,7,8,7,8,8
"2305",5,8,7,7,7,8,7,8,8
"2306",5,9,7,4,5,8,7,9,5
"2307",5,9,7,4,5,5,7,9,5
"2308",5,9,7,4,5,8,7,9,9
"2309",5,8,7,7,7,9,9,8,8
"2310",9,8,9,9,9,9,9,8,8
"2311",9,8,9,9,9,9,9,8,8
"2312",5,8,7,7,7,9,7,8,9
"2313",5,9,7,7,7,8,7,9,9
"2314",5,9,7,7,7,8,7,9,9
"2315",5,8,7,7,9,9,9,8,8
"2316",9,8,9,7,9,9,9,8,8
"2317",5,8,7,7,7,9,7,8,9
"2318",5,9,7,4,5,8,7,9,5
"2319",5,9,7,4,5,8,7,9,9
"2320",5,8,7,7,7,9,7,8,9
"2321",9,8,9,9,9,9,9,8,8
"2322",5,8,7,7,9,9,9,8,8
"2323",8,9,8,4,5,5,8,6,5
"2324",5,8,7,7,7,9,7,8,9
"2325",9,8,9,9,9,9,9,8,8
"2326",5,6,5,4,7,5,7,6,5
"2327",5,9,7,7,7,8,7,6,5
"2328",5,8,7,7,7,9,7,8,8
"2329",9,8,9,9,9,9,9,8,8
"2330",9,8,9,9,9,9,9,8,8
"2331",9,8,9,7,9,9,9,8,8
"2332",9,8,9,7,9,9,9,8,8
"2333",8,9,8,4,5,5,8,6,5
"2334",9,8,9,9,9,9,9,8,8
"2335",9,8,9,9,9,9,9,8,8
"2336",9,8,9,7,9,9,9,8,8
"2337",5,6,5,4,5,5,5,6,5
"2338",9,8,9,9,9,9,9,8,8
"2339",9,8,9,7,9,9,9,8,8
"2340",9,8,7,7,9,9,9,8,8
"2341",5,6,7,4,7,5,7,6,5
"2342",5,9,7,4,5,8,7,9,9
"2343",9,8,9,9,9,9,9,8,8
"2344",5,8,7,7,7,8,7,8,8
"2345",9,8,9,7,9,9,9,8,8
"2346",5,9,7,4,7,8,7,9,5
"2347",5,8,7,7,7,8,7,8,8
"2348",9,8,9,9,9,9,9,8,8
"2349",9,8,9,7,9,9,9,8,8
"2350",9,8,9,9,9,9,9,8,8
"2351",5,8,7,7,7,8,7,9,9
"2352",5,8,7,7,7,8,7,9,9
"2353",8,9,7,4,5,8,8,9,5
"2354",8,9,7,4,5,8,8,9,5
"2355",5,9,7,4,5,5,7,9,5
"2356",9,8,9,9,9,9,9,8,8
"2357",9,8,9,9,9,9,9,8,8
"2358",5,8,9,7,9,9,9,8,8
"2359",9,8,9,7,9,9,9,8,8
"2360",8,9,8,4,5,5,8,6,5
"2361",5,9,7,4,5,8,7,9,5
"2362",5,9,7,4,7,8,7,9,5
"2363",9,8,9,9,9,9,9,8,8
"2364",5,8,7,7,7,8,7,9,9
"2365",9,8,9,9,9,9,9,8,8
"2366",8,9,8,4,5,5,8,6,5
"2367",5,8,7,7,7,8,7,9,9
"2368",5,9,7,7,7,8,7,9,9
"2369",8,9,8,4,5,5,8,6,5
"2370",5,8,7,7,7,8,7,8,8
"2371",9,8,9,9,9,9,9,8,8
"2372",9,8,9,9,9,9,9,8,8
"2373",8,9,8,4,5,5,8,6,5
"2374",5,8,7,7,7,8,7,9,9
"2375",5,6,5,4,5,5,5,6,5
"2376",5,8,7,7,7,8,7,8,8
"2377",5,6,7,4,7,5,7,6,5
"2378",8,9,7,4,5,8,8,9,5
"2379",9,8,9,9,9,9,9,8,8
"2380",5,9,7,7,7,8,7,9,9
"2381",5,9,7,7,7,8,7,9,9
"2382",5,9,7,4,5,5,7,6,5
"2383",5,9,7,7,7,8,7,9,9
"2384",5,9,7,4,5,5,7,9,5
"2385",5,9,7,7,7,8,7,9,9
"2386",7,7,8,8,8,7,8,6,5
"2387",9,8,9,9,9,9,9,8,8
"2388",8,9,8,4,5,5,8,6,5
"2389",9,8,9,7,9,9,9,8,8
"2390",9,8,9,9,9,9,9,8,8
"2391",5,9,7,4,5,8,7,9,5
"2392",9,8,9,9,9,9,9,8,8
"2393",5,9,7,4,5,5,7,9,5
"2394",5,9,7,4,5,5,7,9,5
"2395",8,9,8,4,5,5,8,6,5
"2396",8,9,8,4,5,5,8,6,5
"2397",9,8,9,9,9,9,9,8,8
